"NPI","Provider Other Organization Name","Provider Other Organization Name Type Code"
"1457135568","Angels Above Assisted Living","3"
"1457834004","Brio Functional Medicine","3"
"1467036103","V-Labs America Inc","5"
"1487290771","SSM Health Bone & Joint OSOI North","3"
"1487438685","RX ON U","3"
"1508474636","Saint Joseph Health System Imaging and Rehabilitation","3"
"1528842721","H2 Health","3"
"1548044654","MyEyeDr.","3"
"1609659192","Synchrony Rehab","3"
"1619973591","Alvarado Eye Associates Medical Clinic Inc","4"
"1720586753","Sunrise Family Clinic","3"
"1720862931","Backed Chiropractic","3"
"1740581321","Vision World PC","3"
"1750007860","HARNESS HEALTH PHARMACY #504","3"
"1801670005","H2 Health","3"
"1831731942","Dental Care and Implants of Naples","3"
"1841074044","Union Medical Center-Professional Services","3"
"1841904620","Hospice of the Carolina Foothills","3"
"1841917481","Silverton Health and Rehabilitation of Cascadia","3"
"1871203745","CHILDGARDEN LLC","4"
"1891352217","BrightStar Care of Carlsbad","3"
"1912215286","Grasshopper Group Health Services","3"
"1972212116","American Family Care","3"
"1972212116","Quadrivium Health LLC","3"
"1982488185","H2 Health","3"
"1992297535","Kruger House","5"
"1023892155","Visiting Angels of Mt Washington","3"
"1053195172","JOYFULLIFE LLC","3"
"1063296176","Synchrony Rehab","3"
"1114958576","SURGICAL SPECIALIST FOR BLADEN COUNTY","3"
"1154922425","Rebuild Therapy Services","3"
"1316660350","DispatchHealth Arkansas","3"
"1326072638","Mount Vernon Dialysis","3"
"1407004211","Northstar Primary Care","3"
"1437164969","Elara Caring XXV","3"
"1447033634","Azalea Eye Clinic","3"
"1487729075","IMPACT HOME CARE SERVICES","3"
"1720862857","The Eye Gallery","3"
"1760066633","Thrive Psychiatric & Medication LLC","3"
"1770367898","Lightfully Behavioral Health","3"
"1811771942","Lightfully Behavioral Health","3"
"1922532944","DispatchHealth","3"
"1922698638","Building People Behavioral Health","3"
"1003512195","Baylor Scott & White Pharmacy #302","3"
"1003690140","Synchrony Rehab","3"
"1043825219","DispatchHealth","3"
"1114475878","Sea-Mar Community Health Center","4"
"1154105294","TRANSPORTATION ONE","3"
"1164206298","Clear Recovery Center","3"
"1164920252","DispatchHealth","3"
"1174789317","DuPage County Health Department - CAP VII","3"
"1205300159","DOT Foods IL Family Health Center","3"
"1225812373","CVS Pharmacy #18101","3"
"1235584475","Premise Health Clinic","3"
"1235802174","Sloan - Franklin Park","3"
"1235811860","MCL Health Center","3"
"1245014380","Synchrony Rehab","3"
"1255114450","LOCKETT AND ASSOCIATES LLC","4"
"1265005177","Hyster-Yale - Danville","3"
"1285418335","Forest Acres Post Acute","3"
"1295446672","McKinney Outpatient Surgical Center","3"
"1295518868","MCL Health Center - Utica","3"
"1295519338","N/A","5"
"1316611445","AbbVie M1","3"
"1386099562","Premise Health Clinic","3"
"1396529442","WPPS Dental","5"
"1437399482","Summa Health Medical Group","3"
"1447716873","DispatchHealth NJ Wagner PC","4"
"1467027664","Deaconess Clinic Morganfield","3"
"1477881845","Premise Health Wellness Center","3"
"1558145706","Flowood Drug Company","3"
"1639273378","ER PHYSICIAN SERVICES","3"
"1679357727","Synchrony Rehab","3"
"1679676936","HFM LAKEFRONT PRIMARY CARE","3"
"1679676936","HFM INTERNAL MEDICINE & GASTROENTEROLOGY","5"
"1679713036","Sierra Rose Dialysis Center","3"
"1689933913","Turning Point AB-109 FSP","3"
"1699559732","Walnut Family Dentistry","3"
"1699559740","Heale Outpatient","5"
"1740703545","The Vein Center At Port Washington","3"
"1740703545","Zarcone Veins & Aesthetics","3"
"1780313478","Center for Conscious Alchemy","3"
"1811171283","Vegas Vision","3"
"1821872979","Synchrony Rehab","3"
"1841982055","Cocoon Postpartum Doula Services","4"
"1851991699","Seniors Helping Seniors Mid Mitten","3"
"1861276917","Reedy River Post Acute","3"
"1871282244","Paradise Villa Senior Care","3"
"1871377929","Union Post Acute","3"
"1902972268","ARMAC ASSOCIATES","3"
"1912781063","Indiana Care Network Obstetrics & Gynecology","3"
"1942084090","Ram Transportation LLC","3"
"1952640278","Medstar Medical Transport","3"
"1962286013","Tru Sound Hearing","3"
"1962699538","Neil B. Zusman, M.D., P.A.","4"
"1962699538","Harborside Eye Specialists","5"
"1992410187","Northeast Urgent Care LLC","4"
"1992410187","Urgent Care at NE Philly","5"
"1013283852","School Vision Program","3"
"1033569314","Vida Nutrition and Conscious Living","3"
"1073397139","Ryan Silverman Psychology","3"
"1093452229","Macie Medical","3"
"1174791883","Hemet Dialysis Center","3"
"1194788273","Pleasanton Dialysis Center","3"
"1265114748","Rooted Chiropractic and Wellness","3"
"1265114748","Rooted Chiropractic and Wellness PLLC","3"
"1265216311","HEALTH AND WELLNESS MEDICAL CENTER","3"
"1265216329","Prime Care Medical Transport","3"
"1295519361","Special Delivery Doula Services","3"
"1295740892","TOWNE APOTHECARY LLCC","3"
"1386817526","Balance Chiropractic & Wellness","3"
"1396408142","The Ivy Mental Health Group","3"
"1427545276","Clear Life Recovery","3"
"1477235372","Metro Atlanta Primary Care","3"
"1497409767","Suntree Psychiatry","3"
"1508055997","Oak Creek Dialysis","3"
"1518204650","United Airlines Onsite ORD Clinic","3"
"1528779758","Valley-Wide Counseling & Support Center- Rocky Ford","3"
"1528842689","Synchrony Rehab","3"
"1548044696","Berea Post Acute","3"
"1548221989","Chico Dialysis Center","3"
"1548981574","SMILE DESIGN BURBANK","3"
"1588940019","Allstate Good Life Wellness Center","3"
"1588940019","Allstate Northbrook","3"
"1598438434","St Claire - Belleville","3"
"1598548877","Vida Integrated Health","3"
"1619372026","Southwestern Dermatology","3"
"1629716121","Premise Health Wellness Center","3"
"1649054701","ORANGE KEY LLC","4"
"1689348716","AbbVie One","3"
"1720784101","Lux Home Care Agency","3"
"1740408756","San Jon Cooperative Ambulance","5"
"1740461219","House Call Doctors","3"
"1770999872","My Health Center At Lowe's Rockford","3"
"1780366310","MCL Health Center","3"
"1891579959","Aggie Dental Center","3"
"1902680077","Harmoniously Clinical","3"
"1922665801","VetServe Solutions","5"
"1922745116","Conviva Central Stuart","5"
"1932889433","MCL Health Center","3"
"1942918420","Award Behavior Health","3"
"1952075079","AbbVie Abbott Park","3"
"1962461418","TRC Harbor UCLA MFI Total Renal Dialysis Center","3"
"1982074266","Mylan Institutional Inc","3"
"1003911777","Thomas S. Murray, DPM, Inc","4"
"1053835595","Stanford Health Care Pharmacy","5"
"1083498166","Jil W. Jensen","4"
"1164105599","Clover Endoscopy Center","3"
"1184408270","Interim Healthcare of Hendersonville TN","3"
"1326821331","Corewell Health Pennock Hospital","3"
"1407630585","Ward Medical Transportation","3"
"1407855240","Air Care","3"
"1407855240","Air Idaho Rescue","3"
"1407855240","Air Life Florida","3"
"1407855240","Air Life Georgia","3"
"1407855240","Air Life Kentucky","3"
"1407855240","Air Life North Carolina","3"
"1407855240","Air Life Virginia","3"
"1407855240","Air Methods Kentucky","3"
"1407855240","Air Methods Maryland","3"
"1407855240","AirCare","3"
"1407855240","AirCare Eagle","3"
"1407855240","AirLift Texas","3"
"1407855240","Baptist LifeFlight","3"
"1407855240","Bayflite","3"
"1407855240","Black Hills LIfe Flight","3"
"1407855240","Christiana Care LifeNet","3"
"1407855240","Conemaugh MedStar","3"
"1407855240","Guthrie Air, Conemaugh MedStar","3"
"1407855240","HCA Houston Healthcare AirLife","3"
"1407855240","Hackensack UMC AirMed One","3"
"1407855240","JeffSTAT","3"
"1407855240","JeffSTAT Air Ambulance","3"
"1407855240","KidsKare One","3"
"1407855240","Lehigh Valley MedEvac","3"
"1407855240","Life Flight","3"
"1407855240","Life Saver","3"
"1407855240","LifeFlight","3"
"1407855240","LifeNet","3"
"1407855240","LifeNet Air Medical Services","3"
"1407855240","LifeNet II","3"
"1407855240","LifeNet Michigan","3"
"1407855240","LifeNet South Carolina","3"
"1407855240","LifeNet of New York","3"
"1407855240","LifeSave","3"
"1407855240","LifeStar","3"
"1407855240","MedFlight","3"
"1407855240","MedFlight of Oklahoma","3"
"1407855240","Mercy One","3"
"1407855240","Native Air","3"
"1407855240","Native Air Texas","3"
"1407855240","Oklaloosa Med Flight","3"
"1407855240","PANDA One","3"
"1407855240","San Antonio AirLIFE","3"
"1407855240","SouthFlight","3"
"1407855240","St. Lucie County Air Rescue","3"
"1407855240","StarCare","3"
"1407855240","Temple MedFlight","3"
"1407855240","TriCity LifeNet","3"
"1407855240","TriState Care Flight","3"
"1407855240","Tulsa LIfe Flight","3"
"1407855240","Vanderbilt LifeFlight","3"
"1407855240","WellSpan WellFlight","3"
"1407855240","Wyoming Life Flight","3"
"1437824315","Humanistic Wellness Center","3"
"1457071060","Ecosse Plastic Surgery","3"
"1518663574","Town Square NW Austin, TX","3"
"1619751708","Athens Dental Design","3"
"1689458762","LMH Specialty Pharmacy","3"
"1699394767","Sea - Mar Community Health Center","4"
"1700101797","Sea Mar Community Health Center","3"
"1801670997","Sullivan Recovery","3"
"1922882000","Ark of Rehabilitation Inc","3"
"1952748097","DCI Lake Home Dialysis","3"
"1003430257","Thibodaux Regional Plastic & Reconstructive Surgery Clinic","3"
"1043834260","Thibodaux Regional Urology Clinic","3"
"1043836166","Thibodaux Regional Foot & Ankle Center","3"
"1083921944","Thibodaux Regional Rheumatology Clinic","3"
"1104436542","SANTA MARIA RX PHARMACY","3"
"1114339181","Thibodaux Regional Network Development Corporation - Neurology","3"
"1114339181","Thibodaux Regional Neurology Clinic","3"
"1134438906","Thibodaux Regional Brain and Spine Clinic","3"
"1134813280","Thibodaux Regional Cardiology Clinic","3"
"1174307276","John O'Connell High School-Based Clinic","3"
"1184963613","Thibodaux Regional Women's Clinic","3"
"1205610391","Home Instead","3"
"1225222631","WALMART PHARMACY 10-4350","3"
"1225812316","Strong sisters survive it all","4"
"1235255571","Insight Eye Care","3"
"1275019770","Santa Maria Pharmacy","3"
"1285418384","First 5 Monterey County","3"
"1306620406","Loukisha Morris","3"
"1306620406","Loukisha Morris (Dependable Hands Transportation LLC)","3"
"1316963952","Santa Maria Pharmacy","3"
"1326083262","Visionworks","3"
"1346024445","Optima Foot and Ankle","3"
"1376160275","Satellite Healthcare of Moncks Corner","3"
"1386342400","Solace Treatment Center","3"
"1386428472","Dr. Kristin Dominguez","5"
"1396529491","Cove Counseling & Trauma Therapy","3"
"1487337713","healthcare agency","3"
"1508943473","Santa Maria Pharmacy","3"
"1528728813","Enhabit Hospice","3"
"1558819482","Saint Agnes Care","3"
"1578089991","Trinity Pharmacy","3"
"1740064849","Thai Therapeutic","3"
"1760046502","Martez Place LLC","3"
"1770057952","CompleteTX Hospice","3"
"1780468884","Lakeside Pharmacy LLC","3"
"1811695992","OSF Specialty Pharmacy","3"
"1811915614","WALMART PHARMACY 10-1030","3"
"1871003525","Gaia Midwives","3"
"1871257071","Bhatti GI Consultants, P.A.","5"
"1891352340","Sea Mar CHC Vancouver MSS - Rose Village","5"
"1922882026","Serenity Garden Home 2","3"
"1932750056","Brazzale Surgical Assisting LLC","4"
"1942779731","Sea-Mar Community Health Center","5"
"1033993043","Riverbend Pediatric Therapy","3"
"1194509117","Assisting Hands Hudson County","3"
"1215355128","Thibodaux Regional Endocrinology Clinic","3"
"1255358446","WALMART PHARMACY 10-0663","3"
"1295069490","Thibodaux Regional Oncology Clinic","3"
"1457670648","The Retina Surgery Center","3"
"1487438487","BeautifulMack HomeCare LLC","4"
"1588448500","MAGICLAND CHILDREN'S DENTISTRY & ORTHODONTICS DENTAL GROUP","3"
"1619751625","WRCS","3"
"1659086163","Jubilant Therapy Services","3"
"1679357693","Physical Therapy on Demand","3"
"1770155376","RESHAPE EQUIPMENT LLC","3"
"1841253457","2 B Well, INC","4"
"1881026664","BCM Physicians","3"
"1902111834","Reddy Care Medical","3"
"1912410523","Sea-Mar Community Health Center Salmon Creek MSS","5"
"1962512442","SCCMHD - Central Mental Health Center","3"
"1003690033","Harrison Healthcare Services, LLC","4"
"1073025490","PhysioStrength Physical Therapy","3"
"1144004193","Ben Muriithi","3"
"1164206108","Wendy Yoshioka Counseling LLC","3"
"1265786354","DBA Parker Road Specialty Pharmacy - Clinic","3"
"1275317299","Soo Korean Medicine & Acupuncture Center","3"
"1376225326","Parker Road Speciality Pharmacy","3"
"1457135477","H3S","3"
"1538943550","L & D LOGISTICS","3"
"1619991767","PARKER ROAD SPECIALITY PHARMACY","3"
"1790860062","Wewoka Ambulance Service","5"
"1841074879","Worldwide Companion Services","3"
"1922746619","BreatheWorks","3"
"1972236792","Simply Redefining, LLC","4"
"1992588321","Senior Family Home 1","3"
"1043094006","Lirpa Health","3"
"1053387738","PDI Rocky Hill","3"
"1063645026","Express Scripts","3"
"1073195079","Thrive Psychiatric & Medication LLC","3"
"1093599052","Tappe & Sanchez Support Services","3"
"1124802186","MSD Washington Township Health Center","5"
"1215031877","THE MEDICINE SHOPPE","3"
"1275887911","Hill Country Pharmacy","3"
"1316631021","ACG Hospice","3"
"1316720790","Campbell's Pharmacy","3"
"1356949903","humlbe hearts home care","3"
"1376327338","Sacramento Sierra Wellness Clinic","3"
"1407630460","LMC IDTF Forest Acres","3"
"1417925025","Ocala Regional Kidney Center West","3"
"1528842580","Alliance Orthopedics","3"
"1578292322","Sunshine Pediatrics","3"
"1578750923","Henry Ford Health Systems Center for Complementary and Integrative Med","3"
"1609650662","Primary Plus Employee Health Center","5"
"1629852678","MERCY HEALTH - MARSHALL FAMILY MEDICINE, INTERNAL MEDICINE & PEDIATRIC","3"
"1689290918","SOLACE HOME HEALTHCARE AGENCY, LLC","3"
"1861573438","Homedale Ambulance Assoc","5"
"1922792621","ACG Hospice","3"
"1942084900","Sweet Tooth Pediatric Dentistry","3"
"1023892007","pinnacle therapy centers","3"
"1023892007","pi","4"
"1033228994","Shenandoah Internal Medicine","3"
"1053195032","ReadyCare Specialty Clinic","3"
"1063457919","Zieman Pfeffle & Sheppard DMD PC","4"
"1124044599","Riverside Partners in Women's Health Grafton","3"
"1134104219","Sulivan Drugs of Gillespie","3"
"1134714173","Internal Medicine-Direct Primary Care PC","3"
"1134903115","Sunrise Clinics Moreno Vally High","3"
"1144901893","Neurointerventional Medicine PLLC","3"
"1194107185","Greater Victoria Interventional Pain Associates","3"
"1205881463","Elias Benhamou MD PA","4"
"1316221518","Powerback Rehabilitation","3"
"1356125330","Porter Transportation Services","3"
"1386702892","Haywood County GH#1","5"
"1427670579","McLaren Greater Lansing Primary Care - Okemos","3"
"1548811854","Lotus Behavioral Health Services","3"
"1568001519","ComfortHome Caregivers LLC","3"
"1649890773","Clarity Eyecare","3"
"1689785289","Treasure Life Healthcare Services Inc","3"
"1710040126","Haywood County Arc, Inc","5"
"1720182462","THE CANCER CARE CENTER","3"
"1750999751","Primary Care of Michigan","3"
"1790846343","Haywood County GH#4","5"
"1790847192","Haywood County GH#2","5"
"1831598135","Living Well Onsite Wellness Clinic","5"
"1912013293","AMC Hospitalists","3"
"1912591389","BrightStar Care of Charleston","3"
"1912591389","BrightStar Care/Charleston","3"
"1972239416","Professional Portable X-Ray, Inc","3"
"1013601822","DispatchHealth Advance Care DAL/FTW","3"
"1033678438","A1 MED","3"
"1043382302","CVS Specialty","3"
"1104311331","Bright Smile Dental","3"
"1104311331","Bright Smile Dental at Oviedo, Inc.","3"
"1114937331","allenEYE.com","3"
"1124630975","DispatchHealth Medical","3"
"1124630975","DispatchHealth NJ Wagner PC","4"
"1154105047","Cardiology South Valley","3"
"1194344150","REHAB CAROLINA","3"
"1235913120","Safe Harbor Recovery Center","3"
"1245206507","Cedar River Clinics - Renton","3"
"1255115242","The Women's Psychotherapy Center of New Jersey","3"
"1265950372","DISPATCHHEALTH VA","3"
"1265950372","DispatchHealth","3"
"1295246627","Covington Physician Group","5"
"1295338358","Village Medical","3"
"1295366037","Mission Mobile Medical Care","3"
"1326720566","Centori Health","3"
"1366895674","Cardio-Thoracic Surgeons","3"
"1396984225","Carolina Counseling Services","3"
"1447034335","Pursuit of Healing Therapy Services","3"
"1467180182","All About Smiles","3"
"1487438479","Alamar Care","3"
"1497539381","ELLIE MENTAL HEALTH - NEW PORT RICHEY - TRINITY","3"
"1609560853","Cognitive Diagnostic Associates","3"
"1639752553","ANDREW WAGNER MD PC","4"
"1659451664","Covington Behavioral Health","3"
"1659673440","Riverside Primary Care On Demand","3"
"1659977015","Doctors Place","3"
"1699224337","Centro de Salud Conductual Menonita CIMA Caguas","3"
"1760266811","Katrina King LLC","4"
"1770367732","The Kidz Club","3"
"1790318566","Village Medical","3"
"1811091556","PHYSICIAN SERVICES - ANESTHESIA","3"
"1811405467","HFM WOUND CLINIC","5"
"1841414026","Deer Lodge Medical Center-Clinic","3"
"1851498257","HFM OTOLARYNGOLOGY","3"
"1871377861","Columbia Basin Psychological Services","3"
"1902400880","Village Medical","3"
"1912472861","Infinity Chiropractic","3"
"1912579145","NetRx","3"
"1952362519","Lake St Louis Dialysis","3"
"1972537728","HFM General & Vascular Surgery","3"
"1982488078","Ellie Mental Health","3"
"1992292536","Mantachie Pharmacy","3"
"1023892924","Riverview Senior Living","3"
"1033451810","OHIO HOSPITAL FOR PSYCHIATRY","3"
"1144381245","Harbor Oaks Hospital","3"
"1184319782","Jeffrey Arthur Grant","3"
"1184319782","Portage Bay Psychotherapy Clinic","3"
"1215711122","Blakes House of Independence","3"
"1235913138","The Pleasure Principles","3"
"1265216170","SOFLO SURGEONS, LLC","4"
"1285678490","Amerita","3"
"1295519106","ENC Prosthodontics","3"
"1306973235","Digestive Disease & Endoscopy Center, PLLC","4"
"1366126880","DispatchHealth Advanced Care Houston","3"
"1396790580","Harbor Oaks Hospital","3"
"1447305339","Midland Wellness Centers","3"
"1487438396","East Carolina Implants & Periodontics","3"
"1538661830","DISPATCHHEALTH","3"
"1578983276","Independent Medical Institute and Therapeutics","3"
"1609938331","986 Pharmacy #8015","3"
"1689020489","Community Behavioral Health","3"
"1689176711","Majestic Dialysis","3"
"1689458598","Butterfly Counseling","3"
"1699455451","Sunrise Haven Therapy Group","3"
"1710597778","OCMC Pharmacy","3"
"1710597778","OCMC Employee Pharmacy","5"
"1710597778","Ouachita County Medical Center Employee Pharmacy","5"
"1710597778","Ouachita County Medical Center Pharmacy","5"
"1790324648","Fox Rehabilitation","3"
"1851175756","Total home health care services","4"
"1881647311","City of Eau Claire Fire & Rescue Dept","3"
"1881997708","Harbor Oaks Hospital","3"
"1891998894","dba Harbor Oaks Outpatient Services","3"
"1952185860","Sacred Heart Phlebotomy LLC","5"
"1982386595","CSP Cares Transportation","3"
"1982397618","DispatchHealth Advanced Care San Antonio","3"
"1043094139","C .Well Vision Care","3"
"1043927882","Core Medicine of Idaho","3"
"1053195990","Athletico Physical Therapy","3"
"1114954898","IMAC Regeneration Center of St Louis","3"
"1114954898","Ozzie Smith Center","3"
"1114954898","Ozzie Smith Center of SWMO","3"
"1124153911","Options Behavioral Health System","3"
"1124802061","Gunnison Valley Health Mobile Unit","3"
"1184107542","Sandhills Intergrated Care, Inc","3"
"1184408015","Intensive Cardiac Rehab","5"
"1215507819","Avant Medical Group LLP","3"
"1215711155","AUGUSTA UNIVERSITY ATHLETICS","3"
"1235543596","Options Behavioral Health System","3"
"1245912203","Acti-Kare Responsive In-Home Care","3"
"1265861678","ADVANTAGE THERAPY","3"
"1265861678","Ozzie Smith Center of SWMO","3"
"1306229760","Duvall Advanced Family Eye Care","3"
"1326822263","MED CORNER PHARMACY","3"
"1366226292","True Love & Endurance Home Health Care LLC","3"
"1366226292","True Love & Endurance Home Health Care LLC","4"
"1467930941","Las Mercedes Medical Center V, Inc","3"
"1477223832","Texas Infusion","3"
"1477851798","COMPARE QUALITY PHARMACY","3"
